2025-04-14 23:20:01.971 [info] Reading sessions from keychain...
2025-04-14 23:20:01.994 [info] Getting sessions for all scopes...
2025-04-14 23:20:01.995 [info] Getting sessions for all scopes...
2025-04-14 23:20:01.999 [info] Getting sessions for all scopes...
2025-04-14 23:20:01.999 [info] Getting sessions for all scopes...
2025-04-14 23:20:02.006 [info] Getting sessions for all scopes...
2025-04-14 23:20:02.011 [info] Getting sessions for all scopes...
2025-04-14 23:20:02.012 [info] Getting sessions for all scopes...
2025-04-14 23:20:02.182 [info] Got 0 sessions for ...
2025-04-14 23:20:02.182 [info] Got 0 sessions for ...
2025-04-14 23:20:02.182 [info] Got 0 sessions for ...
2025-04-14 23:20:02.182 [info] Got 0 sessions for ...
2025-04-14 23:20:02.182 [info] Got 0 sessions for ...
2025-04-14 23:20:02.182 [info] Got 0 sessions for ...
2025-04-14 23:20:02.182 [info] Got 0 sessions for ...
2025-04-14 23:20:03.664 [info] Getting sessions for all scopes...
2025-04-14 23:20:03.664 [info] Got 0 sessions for ...
2025-04-14 23:20:12.168 [info] Getting sessions for all scopes...
2025-04-14 23:20:12.169 [info] Got 0 sessions for ...
2025-04-14 23:21:53.750 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-04-14 23:21:53.752 [info] Got 0 sessions for read:user,repo,user:email,workflow...
